Date,Open,High,Low,Close,AdjClose,Volume
2010-11-29,17.469998999999998,17.549999,17.174999,17.215,14.651047,2612065
2010-11-30,17.215,17.395,17.08,17.26,14.689342000000002,2361408
2010-12-01,17.469998999999998,17.68,17.33,17.48,14.876575,2488697
2010-12-02,17.540001,17.625,17.209999,17.58,14.961684,2553541
2010-12-03,17.405001000000002,17.610001,17.344998999999998,17.5,14.893597,1829017
2010-12-06,17.465,17.535,17.23,17.379998999999998,14.79147,1652875
2010-12-07,17.4,17.940001000000002,17.32,17.924999,15.255301000000001,2618619
2010-12-08,18.01,18.530001000000002,18.0,18.485001,15.731897,3765605
2010-12-09,18.535,18.549999,17.9,17.915001,15.246789000000001,2609786
2010-12-10,17.950001,18.040001,17.84,17.975,15.297853,1349428
2010-12-13,18.035,18.184998999999998,17.91,17.915001,15.246789000000001,1455407
2010-12-14,17.915001,17.934998999999998,17.73,17.825001,15.170194,1367598
2010-12-15,17.805,17.959999,17.639999,17.645,15.017001,1605308
2010-12-16,17.575001,17.860001,17.559998999999998,17.825001,15.170194,1516234
2010-12-17,17.860001,17.959999,17.655001000000002,17.655001000000002,15.025514000000001,3052696
2010-12-20,17.605,17.889999,17.605,17.889999,15.225512,1144334
2010-12-21,17.99,18.344998999999998,17.934998999999998,18.059998999999998,15.370192999999999,2595142
2010-12-22,18.030001000000002,18.15,17.834999,18.025,15.340404000000001,1254401
2010-12-23,18.049999,18.1,17.924999,17.955,15.280832,739720
2010-12-27,18.0,18.09,17.764999,18.025,15.340404000000001,733149
2010-12-28,18.025,18.084999,17.844998999999998,17.875,15.212745000000002,576507
2010-12-29,17.91,18.1,17.895,17.905001000000002,15.238276,698881
2010-12-30,17.905001000000002,17.959999,17.735001,17.764999,15.119129000000001,574952
2011-01-03,17.690001000000002,17.9,17.555,17.785,15.13615,973880
2011-01-04,17.91,18.065001000000002,17.799999,17.93,15.259553,1330858
2011-01-05,18.094998999999998,18.389999,18.004998999999998,18.389999,15.651043,2654696
2011-01-06,18.5,19.219998999999998,18.41,19.08,16.238276000000003,3589667
2011-01-07,19.08,19.325001,19.049999,19.15,16.297852,2170179
2011-01-10,19.08,19.360001,18.985001,19.16,16.306362,1700662
2011-01-11,19.290001,20.07,19.155001000000002,20.07,17.080828,4110495
2011-01-12,21.1,21.290001,20.26,20.495001000000002,17.442529999999998,7033006
2011-01-13,20.450001,20.700001,20.025,20.299999,17.276569,2971221
2011-01-14,20.295,20.855,20.24,20.75,17.65955,2544518
2011-01-17,20.9,20.9,20.450001,20.799999,17.702105,2356885
2011-01-18,20.9,21.549999,20.83,21.450001,18.255297,3344963
2011-01-19,21.559998999999998,21.635,20.889999,20.950001,17.829763,3174553
2011-01-20,20.889999,20.98,20.559998999999998,20.559998999999998,17.497849,3547542
2011-01-21,20.610001,20.77,20.365,20.389999,17.353168,3238998
2011-01-24,20.514999,20.635,20.315001000000002,20.540001,17.480829,2976602
2011-01-25,20.605,20.85,20.575001,20.74,17.651041,2535503
2011-01-26,20.745001000000002,20.969998999999998,20.32,20.75,17.65955,4109520
2011-01-27,20.705,21.74,20.695,21.584999,18.370184,4021297
2011-01-28,21.66,22.094998999999998,21.605,21.655001000000002,18.429764000000002,3742670
2011-01-31,21.5,21.549999,21.049999,21.049999,17.914867,2917355
2011-02-01,21.105,21.205,20.870001000000002,20.975,17.85104,2951076
2011-02-02,20.975,21.145,20.715,20.84,17.736147,2730514
2011-02-03,20.82,20.83,20.379998999999998,20.76,17.66806,2328333
2011-02-04,20.73,21.014999,20.32,20.334999,17.306358,3964044
2011-02-07,20.575001,20.85,20.434998999999998,20.85,17.744657999999998,2008218
2011-02-08,20.73,21.165001,20.555,21.165001,18.012745000000002,2096693
2011-02-09,21.195,21.290001,20.875,20.889999,17.778696,1647463
2011-02-10,20.815001000000002,20.98,20.66,20.98,17.855293,1386481
2011-02-11,21.045,21.764999,20.945,21.764999,18.52338,2748417
2011-02-14,21.780001000000002,21.950001,21.540001,21.73,18.493593,1821133
2011-02-15,21.73,21.934998999999998,21.495001000000002,21.84,18.587212,1671053
2011-02-16,21.799999,22.24,21.754998999999998,22.24,18.927635000000002,2595665
2011-02-17,22.225,22.27,21.725,21.77,18.527635999999998,2104671
2011-02-18,21.785,21.799999,21.514999,21.65,18.425504999999998,1893128
2011-02-21,21.594998999999998,21.92,21.165001,21.17,18.016998,1853406
2011-02-22,21.040001,21.245001000000002,20.379998999999998,21.049999,17.914867,3025965
2011-02-23,20.790001,21.35,20.700001,20.85,17.744657999999998,2729865
2011-02-24,20.73,21.455,20.615,20.77,17.676571,3330566
2011-02-25,20.299999,20.780001000000002,20.059998999999998,20.66,17.582954,3115426
2011-02-28,20.6,21.014999,20.440001000000002,20.959999,17.838272,1789567
2011-03-01,20.995001000000002,21.32,20.65,20.65,17.574444,1505727
2011-03-02,20.504998999999998,20.549999,20.08,20.32,17.293596,1735019
2011-03-03,20.33,20.51,19.780001000000002,19.780001000000002,16.834023000000002,4090157
2011-03-04,19.83,20.07,19.625,19.695,16.761679,2269556
2011-03-07,19.655001000000002,19.889999,19.299999,19.299999,16.425512,2979293
2011-03-08,19.389999,19.84,19.26,19.84,16.885082,2975139
2011-03-09,20.35,20.68,20.01,20.059998999999998,17.072315,3837820
2011-03-10,20.030001000000002,20.120001000000002,19.66,19.785,16.838272,1903531
2011-03-11,19.665001,19.860001,19.584999,19.655001000000002,16.727635999999997,1490737
2011-03-14,19.514999,19.655001000000002,19.33,19.334999,16.455297,1765965
2011-03-15,19.084999,19.135,18.285,18.785,15.987207999999999,3987868
2011-03-16,18.83,19.174999,18.674999,18.780001000000002,15.982957,3371585
2011-03-17,19.059998999999998,19.190001000000002,18.825001,19.065001000000002,16.225512,2442605
2011-03-18,19.1,19.4,19.02,19.24,16.374443,2672458
2011-03-21,19.459999,19.709999,19.385,19.565001000000002,16.651041,1932640
2011-03-22,19.495001000000002,19.57,19.190001000000002,19.465,16.565936999999998,1378173
2011-03-23,19.405001000000002,19.855,19.299999,19.84,16.885082,1879196
2011-03-24,19.709999,20.344998999999998,19.690001000000002,20.18,17.174444,1848869
2011-03-25,20.285,20.290001,20.004998999999998,20.184998999999998,17.178698,872834
2011-03-28,20.145,20.299999,20.055,20.225,17.212746,856926
2011-03-29,20.309998999999998,20.389999,20.035,20.285,17.263804999999998,1202807
2011-03-30,20.475,20.855,20.370001000000002,20.76,17.66806,1801944
2011-03-31,20.790001,20.825001,20.540001,20.540001,17.480829,1856359
2011-04-01,20.889999,21.16,20.700001,21.16,18.00849,2074142
2011-04-04,21.145,21.200001,21.014999,21.035,17.902105,1101543
2011-04-05,21.014999,21.23,20.834999,21.01,17.880829000000002,1165039
2011-04-06,21.02,21.125,20.799999,20.85,17.744657999999998,1524142
2011-04-07,20.934998999999998,21.35,20.934998999999998,21.035,17.902105,2160111
2011-04-08,21.17,21.25,20.870001000000002,20.91,17.795721,1676048
2011-04-11,21.02,21.195,20.74,20.875,17.765936,1713702
2011-04-12,20.605,20.815001000000002,20.51,20.655001000000002,17.578701000000002,2672950
2011-04-13,20.754998999999998,21.08,20.629998999999998,20.915001,17.799978,1510799
2011-04-14,20.825001,20.969998999999998,20.615,20.875,17.765936,1397701
2011-04-15,20.885,21.08,20.684998999999998,21.059998999999998,17.923379999999998,1929147
2011-04-18,21.0,21.155001000000002,20.375,20.545,17.485083,1768026
2011-04-19,20.58,20.780001000000002,20.455,20.620001000000002,17.548911999999998,1247137
2011-04-20,20.785,21.33,20.785,21.26,18.093592,2017651
2011-04-21,21.325001,21.325001,21.035,21.235001,18.072317,796402
2011-04-26,21.195,21.455,21.09,21.43,18.238274,1609797
2011-04-27,21.469998999999998,21.469998999999998,21.209999,21.27,18.102102,1502696
2011-04-28,21.334999,21.424999,21.014999,21.125,17.978699,2090734
2011-04-29,21.120001000000002,21.225,20.83,20.889999,17.778696,1627549
2011-05-02,21.065001000000002,21.120001000000002,20.709999,20.77,17.676571,1169185
2011-05-03,20.74,20.85,20.629998999999998,20.75,17.65955,2611019
2011-05-04,20.940001000000002,20.950001,20.355,20.469998999999998,17.421255,2894203
2011-05-05,20.549999,20.6,20.219998999999998,20.4,17.361679000000002,2446763
2011-05-06,20.445,20.995001000000002,20.415001,20.950001,17.829763,2703085
2011-05-09,20.924999,21.075001,20.805,20.969998999999998,17.846785999999998,1913377
2011-05-10,21.0,21.58,20.98,21.514999,18.310612,3013737
2011-05-11,21.68,21.85,21.565001000000002,21.76,18.519121,1798194
2011-05-12,21.610001,21.815001000000002,21.379998999999998,21.815001000000002,18.565931,1815233
2011-05-13,22.01,23.1,22.01,23.09,19.651037,5313672
